Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01017
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GMR Airports Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010
